Sample	Total_base	Total_read	Clean_read	Mapped_read	Mapping_ratio	Dedup_read	Dedup_base	Genomic_base	Genomic_coverage	Genomic_depth	Lambda_percent	Conversion_ratio	CpG_TotalCpG.1X.	CpG_TotalUnique.1X.	CpG_MeanCov.1X.	CpG_MethRatio.1X.	CpG_MethReadRatio.1X.	CpG_TotalCpG.3X.	CpG_TotalUnique.3X.	CpG_MeanCov.3X.	CpG_MethRatio.3X.	CpG_MethReadRatio.3X.	CpG_TotalCpG.5X.	CpG_TotalUnique.5X.	CpG_MeanCov.5X.	CpG_MethRatio.5X.	CpG_MethReadRatio.5X.	CpG_TotalCpG.10X.	CpG_TotalUnique.10X.	CpG_MeanCov.10X.	CpG_MethRatio.10X.	CpG_MethReadRatio.10X.	CHH_TotalCHH.1X.	CHH_TotalUnique.1X.	CHH_MeanCov.1X.	CHH_MethRatio.1X.	CHH_MethReadRatio.1X.	CHH_TotalCHH.3X.	CHH_TotalUnique.3X.	CHH_MeanCov.3X.	CHH_MethRatio.3X.	CHH_MethReadRatio.3X.	CHH_TotalCHH.5X.	CHH_TotalUnique.5X.	CHH_MeanCov.5X.	CHH_MethRatio.5X.	CHH_MethReadRatio.5X.	CHH_TotalCHH.10X.	CHH_TotalUnique.10X.	CHH_MeanCov.10X.	CHH_MethRatio.10X.	CHH_MethReadRatio.10X.	CHG_TotalCHG.1X.	CHG_TotalUnique.1X.	CHG_MeanCov.1X.	CHG_MethRatio.1X.	CHG_MethReadRatio.1X.	CHG_TotalCHG.3X.	CHG_TotalUnique.3X.	CHG_MeanCov.3X.	CHG_MethRatio.3X.	CHG_MethReadRatio.3X.	CHG_TotalCHG.5X.	CHG_TotalUnique.5X.	CHG_MeanCov.5X.	CHG_MethRatio.5X.	CHG_MethReadRatio.5X.	CHG_TotalCHG.10X.	CHG_TotalUnique.10X.	CHG_MeanCov.10X.	CHG_MethRatio.10X.	CHG_MethReadRatio.10X.	orig.ident	nCount_RNA	nFeature_RNA	percent.mt	Cell_id	Embryo	Grade	Day	Preservation	Batch	Group	Index	Lineage	Stage	PBAT_index	PBAT_batch	lambda_percent	Meth_QC
human_E33_D6_NC_1	5074547100	33830314	29907874	14798557	49.4805	9882135	1379794423	1283390985	24.8278	0.4373	6.9868	99.5	16017213	10962679	1.461067409	28.68884872	26.70706465	3942006	1066970	3.694579979	20.44536342	19.83316189	946423	146972	6.439478268	15.11997101	15.78449812	143453	4196	34.18803622	18.50590801	21.45439482	158074980	118744295	1.331221681	1.110841871	1.158651533	26069661	7503356	3.474400122	1.049634959	1.568225912	4169083	701527	5.942868913	2.385699282	4.987724149	381210	13609	28.01160996	31.0772746	34.78269977	54898846	40119397	1.368386619	1.052061648	1.066394013	10335327	2943931	3.510723247	0.907215189	1.224015525	1822313	309264	5.892418775	1.495586813	3.024525655	140444	5287	26.56402497	18.28999622	23.93562644	ST1024	93302	6579	3.38149235814881	ST1024_R6.sc73	E33	4CC	D6	Fresh	ST1024	ICSI	ST1024_R6	TE	4	ST1227_D5	ST1227	10	Pass
human_E34_D7_Allo_ST_17	3657109200	24380728	21429010	10646247	49.6815	7639563	1066166272	987289982	20.6815	0.3364	7.3981	99.52	21517250	14341510	1.500347592	26.22427138	23.73881728	5801638	1564036	3.70940183	16.72084289	16.08067688	1448215	231137	6.265613035	11.85218619	12.22983235	180026	5543	32.47808046	14.68283421	16.38752202	198485560	149400371	1.328547973	1.16763816	1.170534627	32734806	9403251	3.481222186	0.958272225	1.313700192	5357167	907132	5.905609107	1.792372047	3.574776978	448523	16553	27.09617592	22.7812759	26.03902821	70559036	51182918	1.378566107	1.047388101	1.030773713	13804964	3916589	3.524741554	0.826504719	1.017626669	2529361	431686	5.85926113	1.103725764	2.024948412	174505	6895	25.30891951	10.45209862	15.90602418	ST1024	176230	7799	3.02105203427339	ST1024_R3.sc17	E34	3AB	D7	Fresh	ST1024	ST	ST1024_R3	EPI	3	ST1227_D3	ST1227	10	Pass
human_E34_D7_Allo_ST_18	3416509200	22776728	19451178	8661891	44.5314	5677104	792464914	695139301	14.8568	0.2369	12.2814	99.51	16065848	10803924	1.487038228	29.76818447	27.09473747	4253345	1114103	3.817730497	19.49048037	18.54818591	1194284	177523	6.727488832	13.37417123	13.72604411	222371	6911	32.17638547	12.13034438	16.37254489	153169765	115298056	1.328467888	1.167668121	1.186967657	25504061	7222614	3.531139972	0.91577155	1.418407724	4674580	764429	6.115126454	1.591560877	4.016028118	524163	18674	28.06913355	15.85576577	25.32687496	53739462	39141083	1.372968193	1.060741481	1.051037518	10458925	2922755	3.57844739	0.78585798	1.080492572	2132777	351772	6.062952708	1.006411937	2.353697724	210007	8607	24.3995585	6.898220053	15.73659545	ST1024	162196	7906	3.20908037189573	ST1024_R3.sc18	E34	3AB	D7	Fresh	ST1024	ST	ST1024_R3	EPI	3	ST1227_D3	ST1227	10	Pass
human_E34_D7_Allo_ST_9	3686085600	24573904	22198692	10972004	49.4264	7453880	1043465716	955388049	19.8721	0.3255	8.4409	99.46	13042212	9282837	1.404981257	24.57687546	22.62003222	2841202	764366	3.717070095	15.69559464	14.99979784	692234	103417	6.693619037	10.75992467	11.08078533	130164	3725	34.9433557	11.66827114	13.42145847	120463134	95311525	1.263888433	0.884697689	0.912369379	15290907	4411888	3.465842061	0.829324296	1.213628127	2376641	385916	6.158441215	1.728760119	3.755346584	301116	10283	29.2828941	17.32185063	19.99360971	42737588	32784187	1.303603716	0.83006713	0.830207037	6515979	1857149	3.508592472	0.678311756	0.884156671	1135155	186888	6.073985489	0.938070609	2.002907726	119926	4258	28.16486613	6.249833255	11.77393609	ST1024	244166	8149	2.39713965089324	ST1024_R3.sc9	E34	3AB	D7	Fresh	ST1024	ST	ST1024_R3	EPI	3	ST1227_D3	ST1227	10	Pass
human_E35_D7_Allo_ST_10	1623894300	21651924	19488386	8920192	45.7718	6168660	844721283	748152393	15.867	0.2549	11.432	99.3792	10209090	7082177	1.441518618	30.53326658	27.72789396	2491216	653595	3.811559146	19.20837571	17.84063082	713903	109299	6.531651708	12.34389775	11.66866793	114087	4944	23.07584951	7.880774676	8.860680446	93497295	72436958	1.290740219	1.174213489	1.130328385	13736551	3897350	3.524587476	0.840623288	0.998361707	2539552	424611	5.980890745	1.222255288	1.888368937	222181	11300	19.6620354	6.900454867	10.29612109	32845396	24688281	1.330404332	1.125908756	1.066650865	5681046	1586248	3.581436194	0.759403164	0.842832477	1183889	196944	6.011297628	0.766056341	1.180600901	101628	5379	18.89347462	2.503463469	6.01600799	ST1024	325664	8053	1.96828633192493	ST1024_R3.sc50	E35	5B-B-	D7	Fresh	ST1024	ST	ST1024_R3	TE	5	NA	NA	10	Pass
human_E35_D7_Allo_ST_13	1714321500	22857620	20745052	9371584	45.175	6482444	885402921	793310392	16.5778	0.2703	10.4012	99.302	10826998	7471758	1.4490563	28.94873308	26.24740219	2681003	705703	3.799052859	18.16192932	16.89997029	759372	117429	6.466647932	11.78154928	11.12353191	111080	4529	24.52638552	7.836793994	8.335353169	98094737	75734129	1.295251405	0.711804416	0.727221049	14630430	4160661	3.516371557	0.746140443	0.875644636	2678978	452347	5.92239586	1.122664304	1.644954427	204754	10419	19.65198196	6.002625972	8.992214413	34535049	25870215	1.33493475	0.72418334	0.718304831	6043792	1691015	3.574061732	0.629490986	0.700403414	1250874	209677	5.965718701	0.631698088	0.982844099	97613	5125	19.04643902	2.151034146	5.569023798	ST1024	235894	7393	2.2989139189636	ST1024_R3.sc53	E35	5B-B-	D7	Fresh	ST1024	ST	ST1024_R3	TE	5	NA	NA	10	Pass
human_E35_D7_Allo_ST_14	1678495950	22379946	20082286	9747308	48.5368	7584358	1034371960	964891951	20.5218	0.3288	6.7171	99.3352	12725516	9074175	1.402388206	36.61043944	33.42430773	2783190	743135	3.745201074	22.52865802	20.89687114	715371	107851	6.632956579	13.84577565	12.83026878	125878	4138	30.42000967	9.014707588	8.99040007	118951479	94594521	1.257488042	0.774799776	0.787096491	14771541	4261481	3.466292822	0.766110118	0.944464204	2348134	390103	6.019266706	1.284956665	2.124920013	236152	9464	24.95266272	8.785569527	10.86370588	41492970	32031180	1.295393114	0.82912984	0.820754945	6184065	1758629	3.516412501	0.697251751	0.786240172	1110927	184555	6.019490125	0.713690499	1.207918549	103252	4222	24.4557082	3.163086215	6.555814803	ST1024	275016	8388	2.09369636675684	ST1024_R3.sc54	E35	5B-B-	D7	Fresh	ST1024	ST	ST1024_R3	TE	5	NA	NA	10	Pass
human_E42_D5_Allo_ST_4	1706917050	22758894	20969448	10244658	48.8552	7309143	1025775590	1002602000	21.082	0.3416	2.2591	99.4265	10599632	7768901	1.364366981	14.86887656	13.78259475	2007931	551319	3.64204934	9.163533181	9.099233151	429448	63437	6.769677002	6.543344736	8.013514908	88981	2283	38.97547087	9.918094612	14.45230892	97395427	77908981	1.250118096	1.347088256	1.307985013	11213361	3282745	3.415848931	0.865456607	1.282198876	1512507	247284	6.116477411	1.615847932	4.353241896	191549	5788	33.09416033	23.55236351	26.23867162	34679425	27032006	1.282902386	1.220572498	1.168639147	4718623	1367016	3.45176867	0.762663422	1.009750866	711489	118074	6.025788912	0.928405153	2.499126325	74036	2175	34.03954023	10.11717701	17.25231685	ST0110	386635	9299	2.19819726615542	ST0110_R1.sc4	E42	5BB	D5	Fresh	ST0110	ST	ST0110_R1	EPI	5	ST0222_D1	ST0222	10	Pass
human_E42_D5_Allo_ST_71	1689357000	22524760	20814024	10127474	48.657	7255880	1018672048	970063710	21.1614	0.3305	4.7717	99.4384	10436491	7877533	1.324842562	22.8482635	21.06891509	1734376	479238	3.619028541	12.87043114	12.3551887	354994	51571	6.883597371	7.944612282	8.766073539	82157	2239	36.69361322	11.09636445	12.47605012	97651132	80404311	1.214501198	1.530130685	1.470716494	9176189	2714327	3.380649789	0.959649825	1.290800626	1104754	178551	6.187330231	1.857801076	4.177587897	164536	5586	29.45506624	20.55012352	20.35478448	34473018	27682600	1.245295529	1.345299852	1.281904854	3913810	1146680	3.413166707	0.816267564	1.020803031	527936	87187	6.055214654	1.086533084	2.499935068	62760	1964	31.95519348	11.78858961	14.62710803	ST0110	78823	7381	6.70108978343884	ST0110_R1.sc87	E42	5BB	D5	Fresh	ST0110	ST	ST0110_R1	TE	5	ST0222_D1	ST0222	10	Pass
human_E42_D5_Allo_ST_9	1923343050	25644574	22876890	11446150	50.0337	8100490	1135604692	1083270274	22.8351	0.3691	4.6085	99.4553	12878641	9231413	1.395088813	24.87232507	23.12847914	2685030	727426	3.691138343	16.77559645	16.11929092	617689	89625	6.891927476	11.46175732	11.96446699	133524	3216	41.51865672	11.26623445	14.5832341	125411485	98138206	1.277906843	0.953336057	0.984576292	16781699	4862940	3.450936882	0.885717348	1.315228861	2473481	400419	6.17723185	1.833873767	4.26860267	327988	9301	35.26373508	18.83370068	22.40140898	43835690	33408436	1.312114401	0.844844485	0.842280044	6815459	1955821	3.484704889	0.64084746	0.876599349	1108224	182185	6.082959629	0.708132612	2.138183779	123584	3604	34.29078801	7.277294673	14.53327016	ST0110	80382	6917	4.77594486327785	ST0110_R1.sc9	E42	5BB	D5	Fresh	ST0110	ST	ST0110_R1	EPI	5	ST0222_D1	ST0222	10	Pass
